,T,W,SR,DSP,DRH,PanE,Index
1068,0.627188940092166,0.4084541062801933,0.7809867629362214,0.5,0.608235294117647,0.5826446280991736,0.844717638401899
521,0.5202764976958527,0.4536231884057971,0.8690734055354994,0.4692307692307709,0.6741176470588235,0.556198347107438,0.8689859676008583
22,0.4207373271889401,0.2353462157809984,0.3707581227436822,0.5,0.6270588235294118,0.2454545454545454,0.8273714388609482
356,0.6493087557603687,0.3329307568438003,0.6222623345367027,0.4692307692307709,0.7211764705882353,0.4107438016528926,0.4213491642361181
1231,0.6456221198156682,0.3688405797101449,0.7379061371841156,0.3461538461538458,0.6270588235294118,0.5165289256198347,0.5577384416204237
340,0.531336405529954,0.2837359098228663,0.4918170878459688,0.4076923076923083,0.6929411764705883,0.2983471074380165,0.5314734577398882
431,0.3764976958525345,0.3237520128824476,0.3173285198555956,0.5307692307692291,0.8152941176470588,0.1727272727272727,0.1181696490170938
473,0.5608294930875577,0.272061191626409,0.5636582430806256,0.4076923076923083,0.6552941176470588,0.3644628099173553,0.2087193370549236
217,0.6640552995391705,0.3442834138486312,0.7166064981949457,0.4384615384615374,0.7305882352941176,0.4636363636363637,0.4693332569778042
911,0.3175115207373272,0.2683574879227053,0.4010830324909747,0.6230769230769251,0.6835294117647058,0.2057851239669421,0.4050427589391011
1165,0.5755760368663595,0.3589371980676329,0.6570397111913356,0.3769230769230749,0.6176470588235294,0.4768595041322314,0.765318645529615
1011,0.2437788018433179,0.3761674718196457,0.451985559566787,0.4076923076923083,0.5517647058823529,0.3049586776859504,0.721882207144491
1413,0.4686635944700461,0.2525764895330112,0.3243080625752106,0.4692307692307709,0.7964705882352942,0.1793388429752066,0.3010456615621273
93,0.4981566820276498,0.2881642512077295,0.417208182912154,0.5923076923076916,0.711764705882353,0.2520661157024793,0.1601023492481607
1008,0.2990783410138249,0.2735104669887279,0.6123947051744885,0.6538461538461542,0.4576470588235294,0.3842975206611571,0.2406176767561659
696,0.5571428571428573,0.3487117552334944,0.8746089049338147,0.4692307692307709,0.6741176470588235,0.5363636363636364,0.2159820592971819
996,0.7304147465437789,0.3523349436392914,0.7324909747292419,0.4692307692307709,0.6364705882352941,0.5363636363636364,0.5506350434923237
153,0.6640552995391705,0.3714170692431562,0.7939831528279181,0.4384615384615374,0.711764705882353,0.5165289256198347,0.4325738716418464
1259,0.627188940092166,0.3343800322061192,0.6326113116726835,0.3461538461538458,0.711764705882353,0.4107438016528926,0.5879554136306533
1450,0.4317972350230415,0.5309983896940418,0.3799037304452467,0.3153846153846167,0.7870588235294117,0.271900826446281,0.715882994077827
789,0.435483870967742,0.2749597423510467,0.3235860409145608,0.5,0.7023529411764706,0.2256198347107438,0.5635355221442574
580,0.4391705069124424,0.3373590982286634,0.8269554753309265,0.5,0.6647058823529413,0.4504132231404959,0.1938475349979099
703,0.2917050691244239,0.2309178743961352,0.4203369434416366,0.5615384615384625,0.3823529411764707,0.3115702479338843,0.4195934343766373
1218,0.5571428571428573,0.3886473429951691,0.4664259927797833,0.5923076923076916,0.2411764705882353,0.615702479338843,0.471959980812774
487,0.4244239631336406,0.2570048309178744,0.2598074608904933,0.4692307692307709,0.6647058823529413,0.2190082644628099,0.7829989920721038
559,0.571889400921659,0.2690821256038648,0.5598074608904934,0.2538461538461541,0.7400000000000001,0.3247933884297521,0.6959417825515014
801,0.476036866359447,0.3119967793880837,0.3446450060168471,0.5615384615384625,0.608235294117647,0.2851239669421487,0.7334429171347768
512,0.5645161290322581,0.2746376811594203,0.5039711191335741,0.5,0.7211764705882353,0.3115702479338843,0.5782760224405398
633,0.3949308755760369,0.2804347826086957,0.3350180505415162,0.5615384615384625,0.6835294117647058,0.2322314049586777,0.435143574823184
1295,0.6419354838709677,0.4066827697262479,0.7311672683513838,0.5,0.6647058823529413,0.5231404958677686,0.8197427638647832
790,0.5645161290322581,0.2804347826086957,0.6735258724428399,0.4692307692307709,0.7023529411764706,0.390909090909091,0.7003704645012873
116,0.435483870967742,0.2313204508856682,0.2953068592057761,0.5307692307692291,0.5894117647058824,0.2322314049586777,0.4182903126770352
740,0.4576036866359447,0.3237520128824476,0.6813477737665463,0.5615384615384625,0.6929411764705883,0.3776859504132231,0.3471510647813106
830,0.3949308755760369,0.4147342995169082,0.7483754512635379,0.6230769230769251,0.58,0.4834710743801653,0.4342745816991082
119,0.5387096774193549,0.3784219001610306,0.6394705174488569,0.4692307692307709,0.5988235294117648,0.4570247933884298,0.2931656064324508
656,0.4170506912442396,0.179951690821256,0.4055354993983152,0.6846153846153833,0.3917647058823529,0.3115702479338843,0.2237365896931918
635,0.5940092165898618,0.3292270531400967,0.7915764139590854,0.3769230769230749,0.608235294117647,0.5429752066115702,0.5831367606841237
369,0.5092165898617512,0.3086956521739131,0.5671480144404332,0.3769230769230749,0.7494117647058823,0.3247933884297521,0.7153528294499918
268,0.5571428571428573,0.2041867954911433,0.4578820697954271,0.6230769230769251,0.3352941176470588,0.4107438016528926,0.2085636631101305
655,0.3617511520737327,0.2342190016103059,0.4385078219013236,0.5307692307692291,0.5705882352941177,0.2652892561983471,0.2590660524812611
935,0.3285714285714286,0.277938808373591,0.4787003610108303,0.4384615384615374,0.5611764705882353,0.3181818181818182,0.5234470683797773
822,0.5608294930875577,0.2687600644122383,0.7605294825511432,0.5,0.3258823529411765,0.5694214876033058,0.8154670655854473
866,0.4981566820276498,0.2643317230273752,0.2405535499398315,0.4384615384615374,0.8152941176470588,0.152892561983471,0.1786073587795631
46,0.483410138248848,0.3197262479871176,0.4114320096269553,0.5307692307692291,0.7494117647058823,0.2652892561983471,0.8461610965932228
1250,0.4391705069124424,0.3952495974235105,0.6622141997593262,0.5,0.5894117647058824,0.4570247933884298,0.8528889333861407
991,0.7009216589861752,0.3046698872785829,0.7229843561973527,0.4384615384615374,0.6364705882352941,0.4966942148760331,0.527093149362657
876,0.5755760368663595,0.335829307568438,0.8362214199759327,0.4384615384615374,0.7023529411764706,0.4966942148760331,0.767973908584562
